"","code","Atrisk","Une","Chronic","Density","Circulatory","Educational","GDP","Personnel","Beds","Influenza","Lifeexp","Longterm","Malignant","Pneumonia","Respiratory","Over.75","Obesity","Over.60","Males","Diabetes","Pop","Over75rate","Over60rate","Malesrate","PM","deaths","rate","lon","lat","cluster"
"71","FRF2",16.3,9.1,19.83,51.5,237.98,22.1,26100,287.232198,588.4571745,1.15,81.6,69.88784484,57.93,21.15,67.37,127094,20.9,364629,640238,25.05,1314964,9.665207565,27.72920019,48.6886333,11.45045136,2162,1644.15147486927,4.54115547,48.73646901,11
"72","FRF3",14.8,8.1,23.13,98.6,231.07,21.5,22900,305.5458053,637.7734402,2.02,82,39.24560365,62.27,23.97,76.3,221388,17,634859,1133628,21.41,2316183,9.558312102,27.40970813,48.94380107,10.88810115,5036,2174.26688651113,6.14161888,48.76213464,11
"73","FRG0",11.3,7.5,16.08,118.3,227.85,23.4,28800,289.2221577,513.3336854,1.72,83.3,35.8821355,44.4,17.51,58.4,371414,11.8,1022802,1850573,13.54,3787400,9.80656915,27.00538628,48.86130327,8.613359537,2829,746.950414532397,-0.81452264,47.47843903,7
"74","FRH0",11,6.9,23.35,122.4,269.13,22.9,27300,322.4925909,612.0490023,2.19,82.2,38.75550436,51.98,22.87,78.35,350225,12,969898,1625610,12.52,3333720,10.50553136,29.09356515,48.76264353,6.598820101,1759,527.638793899908,-2.84069265,48.17821154,7
"75","FRI1",14,9.1,17.25,83.9,258.03,20.9,28300,360.4590665,624.3106974,1.4,83.3,41.12989831,56.8,23.11,67.03,372729,15.8,1012301,1660209,15.68,3450045,10.80359821,29.34167525,48.12137233,7.425548489,2395,694.193843848414,-0.226685,44.35357622,8
"76","FRI2",15.9,7,24.39,42.9,333.93,18.7,24500,337.8170117,822.6241505,2.62,82.5,152.6067117,56.23,23.35,82.97,94420,17.8,247097,349921,20.28,729981,12.93458323,33.84978513,47.9356312,7.216369099,669,916.462209290379,1.71447391,45.77369454,8
"77","FRI3",13.7,8.1,18.66,70,280.26,20.3,25600,298.0691937,560.6513233,2.05,82.7,68.48283666,58.76,20.41,70.37,217288,13.8,582693,874523,14.78,1806292,12.02950575,32.25906996,48.41537249,8.607133758,1129,625.03736937328,-0.07993721,46.16290759,8
"78","FRJ1",19.6,10.4,18.66,104.4,246.88,22.1,23600,363.6887515,668.9759581,1.69,82.7,51.28627817,58.54,23.09,68.99,310666,15.6,853974,1364772,15.82,2838966,10.94292781,30.08045887,48.07285469,6.59115848,2824,994.728362368552,3.22622065,43.59345098,8
"79","FRJ2",15.3,6.8,18.95,67.8,245.03,21.7,29300,345.8222109,623.675963,1.19,83.7,31.04328643,49.19,20.43,66.79,325725,11.6,865053,1495194,13.78,3060243,10.6437626,28.26746111,48.85866907,6.689672387,2359,770.853817817735,1.48766721,43.76844087,8
"80","FRK1",13.8,5.5,19.79,52.6,295.76,20.7,24300,313.8173577,731.4821338,1.86,82.5,108.2508425,53.47,24.97,74.29,158232,14.4,427338,664092,17.26,1362576,11.61271004,31.36250749,48.73797865,7.478254655,1840,1350.38339145853,3.17722873,45.65562282,8
"81","FRK2",12.6,7,14.86,150.9,187.51,23.8,32200,345.3250535,573.5848988,2.21,84.1,15.32369576,42.3,16.35,51.49,598644,12.5,1644871,3239912,15.45,6643306,9.011236273,24.75982591,48.76957346,9.716415555,10618,1598.30060515051,5.34145987,45.43663562,8
"82","FRL0",17.1,8.8,18.11,162.4,229.63,21.9,29500,406.9007934,698.6761165,2.33,83.3,19.19418113,54.13,22.66,70.01,570045,11.7,1487379,2420650,14.09,5048405,11.29158615,29.46235494,47.94880759,7.830605771,8816,1746.29412656077,6.05669038,43.95588153,8
"83","FRM0",20.1,6.4,15.58,39.6,244.64,16.8,25900,304.4906516,603.1257136,1.11,84.3,165.420402,61.09,17.63,57.75,38837,21,102625,166419,15.89,341554,11.37067638,30.04649338,48.72406706,6.614852798,236,690.959555443649,9.10582505,42.15252798,10
"84","ITC1",14.2,7.7,46.76,172.3,423.04,16.4,31900,366.5177213,350.380566,1.25,83,17.49148266,62.58,32.49,105.73,587912,9.72,1401516,2115079,22.78,4356406,13.49534456,32.17138164,48.55100741,15.97278346,11618,2666.87723779648,7.92359422,45.06022944,10
"85","ITC2",12,6.5,48.86,38.6,361.75,15.4,39500,355.7048048,362.8666465,1.58,82.3,87.53362087,48.08,29.95,111.13,15442,10.68,38173,61423,19.33,125666,12.28812885,30.37655372,48.87797813,12.06292021,474,3771.90329922175,7.38912857,45.72975914,6
"86","ITC3",14,9.6,57.82,284.3,494.34,15,32600,451.7489553,337.9894753,1.72,83.1,32.43821906,70.78,32.39,120.3,244463,9.29,546941,741760,24,1550640,15.76529691,35.27195223,47.83573234,14.59083663,4341,2799.48924315121,8.70423247,44.26466522,10
"87","ITC4",11.1,5.6,36.72,435.8,324.5,17.3,39200,367.7921359,351.7990127,1.21,84,6.888274963,58,25.22,82.37,1175116,10.52,2887766,4924451,19.36,10060574,11.6804071,28.70378966,48.94801231,21.87974873,32359,3216.41687641282,9.76907458,45.62048257,10
"88","ITF1",18.7,11.2,49.54,120.5,460.96,19.4,26200,428.33834,305.2806539,0.98,83.6,14.71507647,46.36,18.6,90.53,161420,11.99,399636,640136,28.51,1311580,12.30729349,30.46981503,48.80647768,8.799440263,2536,1933.54579972247,13.85559429,42.22756206,12
"89","ITF2",23.5,12.2,46.38,68.2,522.15,16.9,21400,411.6263166,336.6959299,1.29,83.3,20.28682959,39.94,16.11,89.23,39315,12.79,96303,150580,28.78,305617,12.86414041,31.51100888,49.27081936,8.156412674,495,1619.67429822294,14.59577084,41.68487717,12
"90","ITF3",41.4,20,45.25,422.2,383.04,21.9,18800,383.7673561,258.6831566,0.7,81.9,0.861817553,55.86,7.71,70.7,508765,11.08,1448242,2828490,53.02,5801692,8.769252142,24.96240752,48.75284658,7.628401406,7884,1358.91391683667,14.84010027,40.85972111,9
"91","ITF4",26.8,14.9,50.3,206.8,361.38,19.3,19300,375.0260917,285.1290365,0.39,83.6,5.261782359,44.56,11.61,82.46,435132,13.46,1146045,1959903,36.73,4029053,10.79985793,28.4445253,48.64425958,6.900878686,6755,1676.57263381743,16.6190572,40.9852497,9
"92","ITF5",30.1,10.8,61.89,55.7,446.73,17,22600,352.1245618,298.648531,0.7,83.1,17.2331395,41.2,12.27,99.94,66822,12.12,167749,276697,37.25,562869,11.87167885,29.80249401,49.15832991,5.658815452,611,1085.51012757853,16.08206608,40.49957404,9
"93","ITF6",32.7,21,45.24,126.5,441.5,18.9,17300,382.6655731,251.7036604,1.02,83,10.16880734,39.64,7.43,77.4,208292,10.01,547884,955673,43.84,1947131,10.69737989,28.13801434,49.08108391,4.980932658,1385,711.30293750138,16.34847645,39.06861793,9
"94","ITG1",40.7,20,44,192.1,422.59,20,18100,429.8893716,274.2459786,0.59,82.3,1.580034445,50.09,12.95,81.97,517239,12.62,1379795,2432589,47,4999891,10.34500552,27.5965016,48.65284063,4.654358587,6753,1350.62944372187,14.14742212,37.58882719,9
"95","ITG2",27.1,14.7,37.87,68.3,309.84,16.6,21600,478.1070401,303.2463584,1.88,83.8,7.379889253,54.74,15.36,74.16,191105,9.86,506711,805762,23.79,1639591,11.65565071,30.90471953,49.14408532,5.44930703,1630,994.150370427747,9.03028664,40.08695633,9
"96","ITH1",9.2,2.9,31.09,72.2,302.71,17.6,47700,321.7377226,364.8494478,3.43,84.4,142.1369108,35.1,15.45,61.99,54843,8.56,133923,262713,13.48,531178,10.32478755,25.21245232,49.45856191,8.820824112,1183,2227.12537040314,11.41597981,46.69675937,4
"97","ITH2",15.3,5.1,25.25,88.2,318.6,19.6,38500,330.2544086,364.0745299,1.11,84.6,168.1765595,45.86,17.64,63.5,60846,8.56,153685,265497,16.73,541098,11.24491312,28.40243357,49.06634288,13.92380371,1424,2631.68594228772,11.12117192,46.13520575,4
"98","ITH3",11,5.7,31.22,282,346.88,17.3,33800,342.6518604,329.7896758,1.08,84,15.06363622,51.11,26.82,79.67,576646,10.09,1434419,2399783,24.15,4905854,11.75424299,29.23892558,48.91672276,21.25117491,11675,2379.80991688705,11.84150782,45.66406068,4
"99","ITH4",8.2,6.1,40.89,159.9,421.55,16.3,31800,402.8077221,325.702342,1.23,83.5,60.81203403,58.63,36.21,111.34,167024,11.83,397050,590802,16.61,1215220,13.74434259,32.67309623,48.61687596,14.03750044,3801,3127.82870591333,13.05176527,46.15918958,4
"100","ITH5",10.1,5.6,44.35,201.9,386.19,17.2,36800,418.7710801,376.9724566,1.6,83.9,10.94298726,62.44,32.55,101.08,571319,11.32,1349509,2168535,22.24,4459477,12.81134537,30.26159794,48.62756328,19.77073392,12959,2905.94614570274,11.03778081,44.52554947,10
"101","ITI1",14.4,6.8,45.37,162.7,409.04,17,32000,438.4872431,282.8958605,1.12,84,9.866901399,61.86,29.23,101.78,501810,8.79,1187619,1800741,24.41,3729641,13.45464617,31.84271623,48.28188558,11.98713472,7109,1906.08157728854,11.12534579,43.45035419,8
"102","ITI2",12.5,8.5,49.84,105.5,437.84,17.2,25900,447.1579282,301.1286656,2.02,84.3,40.13537185,54.9,25.42,104.29,121239,10.63,282619,424819,21.91,882015,13.7456846,32.04242558,48.16460038,10.16045522,1446,1639.42790088604,12.48998667,42.96549963,12
"103","ITI3",11.7,8.7,45.32,161.9,430.61,17.8,28700,376.5232539,310.3055129,1.11,84.4,22.02887225,49.61,29.97,98.37,203803,12.37,477867,740927,24.67,1525271,13.3617567,31.32997349,48.57674472,11.06906778,3017,1978.00915378316,13.13704024,43.34898235,10
"104","ITI4",19.3,9.9,40.78,343,364.42,19.6,34100,458.3538723,350.4458689,0.98,83.6,2.993664657,63.94,24.87,87.81,650202,7.59,1646365,2838406,29.52,5879082,11.05958379,28.00377678,48.27974844,8.951552513,8601,1462.98350660868,12.76749673,41.97896982,9
"105","UKC1",24,5.7,79.12,397.1,255.77,21.9,21300,252.5918756,862.5575614,0.42,79.8,82.31082866,75.43,48.22,154.8,105828,34,313261,589786,11.92,1201543,8.807674798,26.07155965,49.08571728,6.190961202,3054,2541.73175658299,-1.69052109,54.66212334,5
"106","UKC2",24,5.6,76.27,261.6,248.71,21.9,25000,208.5284351,712.0885342,2.35,79.9,82.31204786,78.2,47.43,151.7,128040,34,378824,715101,9.41,1455437,8.79735777,26.02819634,49.13307824,5.220740274,3455,2373.85747373469,-2.01900769,55.21202135,5
"107","UKD1",22,2,64.17,73.6,321.47,22.6,27200,631.0193281,832.1906188,1.2,81.6,82.315598,62.17,51.14,147.4,55168,27,155530,245679,11.11,498083,11.07606564,31.22571941,49.32491171,5.458648966,1319,2648.15301867359,-2.89923236,54.59159044,2
"108","UKD3",22,5.1,60.44,2206.1,223.35,22.6,28600,111.374793,146.8814881,0.68,80,82.28198198,60.76,49.32,135.43,199543,27,590726,1401575,8.17,2822003,7.070970513,20.93286223,49.66596421,9.14171639,7314,2591.77612497223,-2.28511055,53.51490917,5
"109","UKD4",22,3.7,69.87,485.5,273.08,22.6,25800,210.1894045,277.1985624,0.47,79.9,82.25675074,63.48,57.49,160.24,134954,27,388707,739998,10.12,1495318,9.02510369,25.99493887,49.48766751,7.231657002,4057,2713.13526621093,-2.60954437,53.83896167,5
"110","UKD6",22,3.2,53.66,410.6,248.85,22.6,39600,337.4682047,445.0543138,0.43,81.9,82.24646668,53.23,56.48,143.25,91667,27,256614,456540,7.96,931347,9.842411046,27.55299582,49.01932362,8.36920165,2233,2397.6026121306,-2.52220982,53.20473587,2
"111","UKD7",22,3.8,75.58,2135.6,238.73,22.6,24600,202.3402716,266.8470969,1.43,79.6,82.27517247,71.75,50.93,155.18,133945,27,387184,759387,10.76,1553324,8.623120482,24.92615835,48.88786885,9.263798227,4237,2727.69879303996,-2.89793938,53.43202177,5
"112","UKE1",24,4.7,73.18,265.2,288.96,21.9,24600,283.9236794,250.792102,0.32,80.8,82.23922286,71.89,48.54,154.97,87449,33,254328,462011,14.88,932645,9.376450847,27.26953986,49.53771263,8.54694235,2125,2278.46608302194,-0.49472329,53.78730278,5
"113","UKE2",24,2.7,59.4,99,280.03,21.9,28500,321.3381647,283.8406221,1.1,82.3,82.27616151,52.07,47.3,134.33,86838,33,241859,405618,8.74,824054,10.53790164,29.34989697,49.22225971,6.967699438,1267,1537.5205993782,-1.4078689,54.18264353,2
"114","UKE3",24,5.1,62.76,902.8,238.44,21.9,22100,188.4736411,166.4803046,2.3,80.2,82.27927836,64.2,43.62,136.1,115402,33,330748,696516,9.48,1404971,8.213835019,23.54126882,49.57511579,9.362514915,3787,2695.42930067596,-1.33137283,53.48436166,5
"115","UKE4",24,4.7,57.97,1142.4,232.99,21.9,27100,113.914031,100.6211928,0.52,80.1,82.29514403,57.93,40.98,121.82,171996,33,507937,1144900,11.48,2324560,7.399077675,21.85088791,49.25233162,8.389652513,4686,2015.86536806966,-1.68886876,53.74340409,5
"116","UKF1",19,3.9,59.47,460.9,239.62,21.3,24800,121.6984764,141.0616541,1.1,80.9,82.29350506,57.78,45.62,132.38,190937,25,552144,1093559,13.11,2210381,8.638194049,24.97958497,49.4737785,9.276895821,5190,2348.01149666053,-1.34104614,53.1321433,2
"117","UKF2",19,4.2,51.85,374.6,204.54,21.3,28100,145.8971973,169.1105803,0.88,81.5,82.27734135,49.7,41.98,120.31,145431,25,433417,914616,10.37,1843764,7.887723158,23.50718422,49.60591486,9.651173358,3812,2067.50972467192,-0.95800443,52.49418417,2
"118","UKF3",19,3.7,64.71,127.1,294.39,21.3,22500,355.3876235,411.9325688,0.4,81,82.30724515,59.63,52.81,149.87,79891,25,226847,370753,13.33,756920,10.55474819,29.96974581,48.98179464,9.209628787,1698,2243.30180203985,-0.25091462,53.11539167,2
"119","UKG1",24,3,53.44,228.7,254.62,22.9,31000,265.4267271,230.5293969,0.22,81.9,82.28967889,48.8,51.42,134.08,137753,35,383246,667634,10.8,1352539,10.18477101,28.33530124,49.36153412,8.721802172,2623,1939.31561308029,-2.17809371,52.2050174,2
"120","UKG2",24,3.3,63.76,261.8,255.05,22.9,24200,220.6574732,191.64624,1.3,80.9,82.300935,54.34,43.87,136.88,154459,35,441903,809998,11.11,1626956,9.493741687,27.16133688,49.78610362,8.274782238,4075,2504.67744671644,-2.41631723,52.73745253,2
"121","UKG3",24,6,53.3,3235.7,218.38,22.9,27100,122.5935049,106.4753616,0.62,80.2,82.29814672,49.86,42.48,120.01,217488,35,590894,1450447,15.06,2928377,7.426912587,20.17820793,49.53074689,9.253218035,7571,2585.39115694461,-1.87507251,52.48824705,2
"122","UKH1",20,2.9,55.07,200.1,258.01,21.2,29000,138.9552028,123.647923,0.56,82.3,82.28654276,49.13,45.52,130.43,255238,27,702563,1249971,10.9,2521676,10.12176029,27.86095438,49.56905645,9.989243069,3861,1531.12453780739,0.73094147,52.45310098,2
"123","UKH2",20,2.7,47.95,648.3,195.8,21.2,35300,187.1947868,166.5734432,0.27,82.3,82.27168139,41.76,44.96,117.77,146973,27,410384,922279,9.89,1871847,7.851763526,21.92401409,49.27106756,9.97964735,4176,2230.95156815701,-0.31758584,51.93439968,2
"124","UKH3",20,3.2,60.71,500,232.35,21.2,26400,190.2396835,169.2829147,0.22,81.8,82.30689505,56.79,56.08,143.69,167717,27,470365,901611,10.81,1841887,9.10571604,25.53712578,48.95039707,10.69746108,5137,2788.98759804483,0.55284425,51.79566837,2
"125","UKI3",28,3.8,28.46,10844.6,122.94,23.2,190500,314.5702735,361.3568268,0.95,84.7,82.31745474,30.52,20.98,60.7,62386,24,188357,595936,8,1190513,5.240261971,15.8214988,50.05707624,12.4389187,1510,1268.36078228461,-0.17892816,51.49795708,2
"126","UKI4",28,4,28.64,11509.1,111.62,23.2,50900,215.8057337,176.9722201,0.72,82,82.27439333,28.56,19.39,56.4,86409,24,285027,1234669,18.27,2430890,3.554624027,11.72521175,50.79082147,12.2705639,3191,1312.68794556726,-0.05415509,51.50839301,2
"127","UKI5",28,4.4,38.43,4473.1,169.67,23.2,22100,87.29088063,221.6796744,0.05,82.4,82.29252442,37.32,33.85,89.34,117593,24,336797,959656,11.46,1940638,6.059502081,17.35496265,49.45054152,11.66026384,4207,2167.84377096604,0.08640102,51.55983025,2
"128","UKI6",28,4.1,36.43,3698.1,171.49,23.2,28100,651.289669,326.7080406,0.77,82.7,82.32252812,32.72,38.51,91.23,89866,24,256574,641140,8.81,1316772,6.824719845,19.48507411,48.69028199,10.47778683,2641,2005.66233182358,-0.07343197,51.37251353,2
"129","UKI7",28,5.2,28.09,4509.4,173.08,23.2,39100,284.2482539,204.5218245,0.97,83.4,82.29364903,32.15,33.5,77.37,131193,24,386165,1054868,8.55,2103443,6.237059906,18.35870998,50.14958808,11.63849722,4217,2004.80830714215,-0.33479257,51.53958712,2
"130","UKJ1",19,2.8,41.04,419.8,174.13,21.3,44500,70.07447585,154.1307538,0.96,83.2,82.27752802,37.43,39.53,101.53,188088,23,534767,1199575,8.69,2417428,7.780500598,22.12132068,49.62195358,9.670882125,3697,1529.31131764834,-1.09665704,51.7198867,2
"131","UKJ2",19,2.6,52,532.7,252.14,21.3,32700,58.21629933,128.0483656,0.59,82.9,82.27262136,45.9,59.1,136.38,291145,23,774049,1425200,6.82,2909838,10.00553983,26.60110288,48.97867166,10.07121245,5824,2001.48599337833,-0.22242867,51.03991509,2
"132","UKJ3",19,3.3,55.52,479.4,238.66,21.3,32400,84.99535887,186.94965,1.67,82.5,82.28594365,49.75,39.97,120.27,187400,23,516634,985439,9.89,1993050,9.402674293,25.92177818,49.44376709,9.286184137,3435,1723.48912470836,-1.28744954,51.02793621,2
"133","UKJ4",19,3.9,61.1,494.2,222,21.3,26100,91.3346888,200.8931821,0.27,81.6,82.27670313,53.21,50.53,138.1,164051,23,467721,912125,9.46,1854717,8.845069086,25.21791734,49.17866176,10.86834882,4855,2617.6500242355,0.72123385,51.22951125,2
"134","UKK1",19,2.7,45.98,335.7,220.58,20.4,33100,86.02986289,148.0587848,0.97,82.3,82.29461711,43.28,49.46,119.44,223161,27,620728,1244704,10.54,2516568,8.867672163,24.66565577,49.46037619,8.711625832,3364,1336.74114905697,-2.11223928,51.52166621,2
"135","UKK2",19,2.1,61.64,218.4,296.15,20.4,25600,162.0505343,278.8915893,0.68,82.4,82.26029433,55.28,52.33,143.16,156512,27,419178,656514,11.49,1336003,11.71494375,31.37552835,49.14015912,7.891153165,513,383.981173694969,-2.66426095,50.97024409,2
"136","UKK3",19,2.1,58.16,159.1,312.39,20.4,21900,380.7517253,655.2798745,0.36,81.4,82.30568472,61.37,69.93,156.82,62137,27,180127,276253,7.75,568612,10.92783832,31.67836767,48.58374428,5.378919907,525,923.300950384445,-4.83171591,50.40355401,2
"137","UKK4",19,3,57.18,177.7,290.89,20.4,23900,181.1415347,311.7475096,2.88,81.9,82.32945504,55.57,65.48,152.14,132154,27,363030,586085,9.45,1195198,11.05708008,30.37404681,49.03664497,6.212257093,1187,993.140885443249,-3.81137184,50.75304355,2
"140","UKM5",19,3.2,53.94,76.2,270.49,22,42300,201.669476,837.5642203,2.24,80.3,82.36350974,60.65,33.58,114.79,37479,28,115484,246600,18.71,495365,7.565936229,23.31291068,49.78147427,3.396565186,459,926.589484521514,-2.61737659,57.23907629,5
"142","UKM7",19,3.4,57.53,150.8,266.45,22,32900,49.98251363,207.5850341,4.5,79.9,82.30353845,72.76,29.04,116.98,165880,28,490684,973068,18.55,1998699,8.299398759,24.55016989,48.68506964,3.951617053,2806,1403.91324556624,-3.59490534,56.40340786,5
"143","UKM8",19,4.6,73.73,800,268.35,22,27800,64.78607625,269.0664968,1.63,77.9,82.29582658,85.75,32.2,137.41,116403,28,351368,747323,18.12,1541998,7.548842476,22.78654058,48.46458945,4.766595927,3187,2066.799049026,-4.3803699,55.92568676,5
"144","UKM9",19,3.1,77.98,59.7,321.12,22,19300,105.4703089,438.0343459,1.37,79.2,82.24361424,79.88,40.05,154.7,92977,28,277086,457018,15.97,947186,9.816129039,29.25359961,48.25007971,4.578469231,1451,1531.90608813897,-3.69758773,55.35355523,5
"145","UKN0",19,2.7,54.32,138.7,203.25,25,25400,239.8479168,311.4537678,0.75,80.9,82.27279928,54.7,38.46,114.97,137295,27,420528,932717,13.84,1893700,7.250092412,22.20668533,49.25368327,3.854991547,2506,1323.33526957807,-6.6931343,54.60993042,5
